job_title,job_date,comp_name,comp_type,comp_size,eco_activity,region,city,benefits,contract,positions,exper,gender,Salary,is_tech_job
Secretary,2022-10-01,مؤسسة دمك للمقاولات العامة,1,SB,Construction and Real Estate,Eastern,BUQAYQ,0,1,1,0,1,4000.0,0
Salesperson,2022-10-03,شركة محمد سراج عطار وأخويه,1,SB,Trade and Retail,Makkah,JEDDAH,1,1,3,0,0,4000.0,0
Receptionist,2022-10-08,مركز شار لطب الاسنان,1,MA,Trade and Retail,Makkah,JEDDAH,1,1,2,4,1,4000.0,0
Accountant,2022-10-12,شركة اسواق بساتين القصيم,1,MB,Trade and Retail,Riyadh,AR RIYADH,1,1,10,0,2,4000.0,0
Secretary,2022-10-13,شركة السبائك الذهبية للمعادن الثمينة,1,SA,Trade and Retail,Makkah,JEDDAH,1,1,1,2,1,5000.0,0
HR Specialist,2022-10-18,شركة نور الانشائية للمقاولات شركة شخص واحد,1,SB,Construction and Real Estate,Makkah,JEDDAH,0,1,1,4,1,4000.0,0
Dentist,2022-10-24,مجمع سلامتك لطب الاسنان الطبي المتخصص فرع شركةخالد عبداللةكدسةوشركاه,1,MA,Healthcare and Pharmaceuticals ,Makkah,JEDDAH,1,1,6,0,1,4500.0,0
Switchboard Operator,2022-10-24,مؤسسة قدور نجد لخدمات الاعاشة,1,MB,Tertiary and Services,Riyadh,AR RIYADH,0,1,5,0,2,4000.0,0
Manager,2022-10-24,شركة خالد بن عبدالعزيز الملحم وشركاؤه للاستشارات الهندسية,1,SA,Consulting and Profissonal Services,Eastern,AD DAMMAM,0,1,1,10,0,6000.0,0
Manager,2022-10-24,مؤسسة قدور نجد لخدمات الاعاشة,1,MB,Tertiary and Services,Makkah,JEDDAH,0,1,1,2,2,6000.0,0
Switchboard Operator,2022-10-24,مؤسسة قدور نجد لخدمات الاعاشة,1,MB,Tertiary and Services,Makkah,JEDDAH,0,1,3,0,2,4000.0,0
Debt Collector,2022-10-24,شركة رحابة العقارية,1,SA,Construction and Real Estate,Riyadh,AR RIYADH,0,1,1,0,1,5000.0,0
Real Estate Broker,2022-10-24,شركة رحابة العقارية,1,SA,Construction and Real Estate,Riyadh,AR RIYADH,0,1,1,2,0,5000.0,0
Salesperson,2022-10-24,شركة مدار الفكرة للتجارة شركة شخص واحد,1,MA,Tertiary and Services,Riyadh,AR RIYADH,0,1,1,0,1,4000.0,0
Accountant,2022-10-24,مؤسسة سلاسل بابل للمقاولات,1,SB,Construction and Real Estate,Makkah,ABU TARFAH,0,1,3,0,1,4000.0,0
Real Estate Broker,2022-10-24,شركة رحابة العقارية,1,SA,Construction and Real Estate,Riyadh,AR RIYADH,0,1,1,0,1,5000.0,0
Administrative Assistant,2022-10-24,شركة المردف للتجارة,1,SA,Trade and Retail,Riyadh,AR RIYADH,0,1,1,2,2,5000.0,0
Receptionist,2022-10-24,مؤسسة قوة اللمعة للسيارات,1,SB,Technical Services,Makkah,MAKKAH AL MUKARRAMAH,1,1,1,0,2,4500.0,0
Accountant,2022-10-24,شركة دليل المواقع لتقنية المعلومات,1,SA,Technology and Communications,Riyadh,AR RIYADH,0,1,1,2,2,6500.0,0
Secretary,2022-10-24,مكتب المحامي سعد بن درويش آل محفوظ,1,SB,Consulting and Profissonal Services,Makkah,JEDDAH,0,1,1,0,2,4000.0,0
Analyst,2022-10-24,شركة حديد السد للصناعة,1,MB,Industrial Manufacturing,Riyadh,AR RIYADH,0,1,1,0,0,5500.0,0
Secretary,2022-10-24,مكتب المحامي سعد بن درويش آل محفوظ,1,SB,Consulting and Profissonal Services,Makkah,JEDDAH,0,1,1,0,1,4000.0,0
Analyst,2022-10-24,الجمعية الخيرية لرعاية الايتام بمكة المكرمة,1,SB,Charity,Makkah,AT TAIF,1,1,1,2,2,6000.0,0
HR Specialist,2022-10-24,شركة أرتال الفندقية,1,MA,Tertiary and Services,Riyadh,AR RIYADH,0,1,1,0,0,6250.0,0
Switchboard Operator,2022-10-24,مؤسسة أبعاد الجمال التجارية,1,SA,Trade and Retail,Riyadh,AR RIYADH,0,1,1,0,1,4000.0,0
Engineer,2022-10-24,شركة قطاف المستقبل للصناعات الغذائية,1,SB,Food Services,Riyadh,TUMAIR,1,1,1,4,0,8333.0,0
Analyst,2022-10-24,شركة المردف للتجارة,1,SA,Trade and Retail,Riyadh,AR RIYADH,1,1,2,4,2,8000.0,0
Salesperson,2022-10-25,شركة بوا للتجارة شركة شخص واحد,1,SA,Technical Services,Riyadh,AR RIYADH,1,1,2,0,1,4000.0,0
Lawyer,2022-10-25,مكتب عبدالمحسن المحرج للمحاماة والاستشارات,1,SB,Consulting and Profissonal Services,Riyadh,AR RIYADH,1,1,1,4,1,10000.0,0
Lawyer,2022-10-25,مكتب عبدالمحسن المحرج للمحاماة والاستشارات,1,SB,Consulting and Profissonal Services,Riyadh,AR RIYADH,1,1,1,4,1,5500.0,0
Manager,2022-10-25,شركة  الشرق المتحدة لتأجير السيارات,1,SA,Tertiary and Services,Riyadh,AR RIYADH,1,1,1,2,2,5000.0,0
Technician,2022-10-25,مجمع عيادات دار العلاج,1,MA,Tertiary and Services,Riyadh,AR RIYADH,0,1,3,2,2,5000.0,0
Lawyer,2022-10-25,مكتب عبدالمحسن المحرج للمحاماة والاستشارات,1,SB,Consulting and Profissonal Services,Riyadh,AR RIYADH,1,1,1,0,0,5500.0,0
Accountant,2022-10-25,مطعم دجاج بيك للوجبات السريعة,1,SB,Tertiary and Services,Tabuk,HAQL,0,1,1,2,0,4000.0,0
Analyst,2022-10-25,مؤسسة عبدالعزيز محمد ابراهيم العجمي التجارية,1,SA,Trade and Retail,Eastern,AL KHOBAR,1,1,2,2,2,7000.0,0
Analyst,2022-10-25,شركة الضبيب والسليم لاصحابها خليفه الضبيب وحمد السليم,1,MC,Technology and Communications,Eastern,AL KHOBAR,0,1,1,0,2,5000.0,0
Artist,2022-10-25,مؤسسة عبدالعزيز محمد ابراهيم العجمي التجارية,1,SA,Trade and Retail,Eastern,AL KHOBAR,1,1,2,2,2,12000.0,0
HR Specialist,2022-10-25,شركـة نون التعليمية لتقنية المعلومات,1,SB,Technology and Communications,Riyadh,AR RIYADH,0,1,1,4,2,8496.0,0
Salesperson,2022-10-25,شركة بوا للتجارة شركة شخص واحد,1,SA,Technical Services,Riyadh,AR RIYADH,1,1,2,0,2,4000.0,0
Dentist,2022-10-25,عيادة رامي محمد سعيد ابراهيم حسنين لطب الاسنان,1,SB,Healthcare and Pharmaceuticals ,Makkah,GHITHAH,1,1,1,0,1,5000.0,0
Switchboard Operator,2022-10-25,مكتب خيارك الوحيد للخدمات العامة,1,SA,Tertiary and Services,Al Baha,AL AQIQ,0,1,2,0,2,4000.0,0
Manager,2022-10-25,مكتب محمد الخليوي محامون ومستشارون قانونيون,1,SB,Consulting and Profissonal Services,Riyadh,AR RIYADH,0,1,1,0,2,8000.0,0
